size,msg,repetition,time
100,100,7,4341247778
100,100,8,5160065974
100,100,9,4323497687
100,100,10,4194485812
100,100,11,4199203178
100,100,12,4223288802
100,100,13,4656917810
100,100,14,4448256027
100,100,15,4073571493
100,100,16,3774247724
100,100,17,4085235603
100,100,18,4736406702
100,100,19,4085631528
100,100,20,4252511643
100,100,21,3847386039
100,100,22,3989827125
100,100,23,4204096468
100,100,24,4091497000
100,100,25,4150145500
100,100,26,3826213932
100,100,27,4399591904
100,100,28,3780702978
100,100,29,4103265948
100,100,30,3934076743
100,100,31,4289000961
100,100,32,3990918979
100,100,33,3797438359
100,100,34,4144350142
100,100,35,4081267477
100,100,36,3671728478
100,100,37,3895631576
100,100,38,3839230556
100,100,39,3858246365
100,100,40,4056707421
100,100,41,3784558815
100,100,42,4070090153
100,100,43,4390053057
100,100,44,4010697537
100,100,45,4272306119
100,100,46,4115428447
100,100,47,3953892224
100,100,48,3882458291
100,100,49,3972835017
100,100,50,3704645732
100,100,51,3963003546
100,100,52,3756310598
100,100,53,3756298858
100,100,54,4123409514
100,100,55,3928442143
100,100,56,4029158166
100,100,57,5163265907
100,100,58,3802219572
100,100,59,4130671850
100,100,60,3813068124
100,100,61,3613585639
100,100,62,3798545043
100,100,63,4549142211
100,100,64,4653358264
100,100,65,4076156425
100,100,66,4053190719
100,100,67,4320573529
100,100,68,3988141812
100,100,69,5129670553
100,100,70,4147345149
100,100,71,4058196088
100,100,72,4022596408
100,100,73,4140183585
100,100,74,4238872472
100,100,75,4386750201
100,100,76,4174500425
100,100,77,3895860666
100,100,78,4231366068
100,100,79,4017014588
100,100,80,4342947473
100,100,81,4404682457
100,100,82,4131670049
100,100,83,4373987050
100,100,84,4978221709
100,100,85,4112887946
100,100,86,4393634489
100,100,87,3792275312
100,100,88,4561563391
100,100,89,4054652136
100,100,90,4100303190
100,100,91,4333429571
100,100,92,4809788131
100,100,93,4273240971
100,100,94,4099050200
100,100,95,4123421056
100,100,96,4264500372
100,100,97,4331702823
100,100,98,4483254589
100,100,99,4736009105
1000,1,0,35200071
1000,1,1,50795836
1000,1,2,48616560
1000,1,3,30532610
1000,1,4,44527489
1000,1,5,44296873
1000,1,6,65240517
1000,1,7,31765777
1000,1,8,40260493
1000,1,9,41084661
1000,1,10,29201868
1000,1,11,28074726
1000,1,12,48880786
1000,1,13,37237906
1000,1,14,43597011
1000,1,15,96853354
1000,1,16,38683861
1000,1,17,38269920
1000,1,18,73758241
1000,1,19,30482417
1000,1,20,27539560
1000,1,21,44537653
1000,1,22,32064899
1000,1,23,49548781
1000,1,24,36358171
1000,1,25,48735529
1000,1,26,30239707
1000,1,27,153963829
1000,1,28,59678210
1000,1,29,28793763
1000,1,30,68044772
1000,1,31,35772749
1000,1,32,28525868
1000,1,33,84307742
1000,1,34,333717969
1000,1,35,39413834
1000,1,36,32332605
1000,1,37,44655026
1000,1,38,84157874
1000,1,39,43971931
1000,1,40,24851707
1000,1,41,28144365
1000,1,42,29107364
1000,1,43,25941964
1000,1,44,37792270
1000,1,45,38586432
1000,1,46,29371341
1000,1,47,47701942
1000,1,48,41522697
1000,1,49,37049344
1000,1,50,29609151
1000,1,51,68875074
1000,1,52,67112325
1000,1,53,41899022
1000,1,54,28887680
1000,1,55,24335328
1000,1,56,29024095
1000,1,57,63266978
1000,1,58,26194393
1000,1,59,68981670
1000,1,60,30961373
1000,1,61,96787048
1000,1,62,32230239
1000,1,63,28744607
1000,1,64,82074533
1000,1,65,25511411
1000,1,66,31154874
1000,1,67,39613775
1000,1,68,30927586
1000,1,69,33303730
1000,1,70,39613972
1000,1,71,24886798
1000,1,72,26951261
1000,1,73,30879989
1000,1,74,52312711
1000,1,75,27482391
1000,1,76,61020777
1000,1,77,25653074
1000,1,78,54413407
1000,1,79,28430644
1000,1,80,26763429
1000,1,81,29393517
1000,1,82,27093121
1000,1,83,27016967
1000,1,84,50353133
1000,1,85,35001956
1000,1,86,53898543
1000,1,87,97222857
1000,1,88,34885321
1000,1,89,28472923
1000,1,90,33070808
1000,1,91,29025973
1000,1,92,103762959
1000,1,93,27835724
1000,1,94,26419479
1000,1,95,30028538
1000,1,96,47536027
1000,1,97,27765480
1000,1,98,26024256
1000,1,99,31945440
1000,10,0,356541510
1000,10,1,527005007
1000,10,2,338027387
1000,10,3,469757874
1000,10,4,441964195
1000,10,5,437101319
1000,10,6,352279517
1000,10,7,375842434
1000,10,8,392356893
1000,10,9,380258256
1000,10,10,427058886
1000,10,11,480391815
1000,10,12,437398662
1000,10,13,392600648
1000,10,14,548466434
1000,10,15,381504138
1000,10,16,429990731
1000,10,17,432143553
1000,10,18,331514961
